date,time,loghost,process,accessType,ip
2010-06-14,15:16:01,combo,sshd(pam_unix)[19939],unauthorized,218.188.2.4
2010-06-14,15:16:02,combo,sshd(pam_unix)[19937],unauthorized,218.188.2.4
2010-06-15,02:04:59,combo,sshd(pam_unix)[20882],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20884],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20883],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20885],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20886],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20892],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20893],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20896],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20897],unauthorized,220.135.151.1
2010-06-15,02:04:59,combo,sshd(pam_unix)[20898],unauthorized,220.135.151.1
2010-06-15,12:12:34,combo,sshd(pam_unix)[23397],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23395],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23404],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23399],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23406],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23394],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23396],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23407],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23403],unauthorized,218.188.2.4
2010-06-15,12:12:34,combo,sshd(pam_unix)[23412],unauthorized,218.188.2.4
2010-06-15,12:13:19,combo,sshd(pam_unix)[23414],unauthorized,218.188.2.4
2010-06-15,12:13:20,combo,sshd(pam_unix)[23416],unauthorized,218.188.2.4
2010-06-15,14:53:32,combo,sshd(pam_unix)[23661],unauthorized,061.092.085.098
2010-06-15,14:53:32,combo,sshd(pam_unix)[23663],unauthorized,061.092.085.098
2010-06-15,14:53:32,combo,sshd(pam_unix)[23664],unauthorized,061.092.085.098
2010-06-15,14:53:33,combo,sshd(pam_unix)[23665],unauthorized,061.092.085.098
2010-06-15,14:53:34,combo,sshd(pam_unix)[23669],unauthorized,061.092.085.098
2010-06-15,14:53:35,combo,sshd(pam_unix)[23671],unauthorized,061.092.085.098
2010-06-15,14:53:35,combo,sshd(pam_unix)[23673],unauthorized,061.092.085.098
2010-06-15,14:53:35,combo,sshd(pam_unix)[23674],unauthorized,061.092.085.098
2010-06-15,14:53:36,combo,sshd(pam_unix)[23678],unauthorized,061.092.085.098
2010-06-15,14:53:36,combo,sshd(pam_unix)[23677],unauthorized,061.092.085.098
2010-06-15,20:05:31,combo,sshd(pam_unix)[24138],unauthorized,211.116.254.214
2010-06-15,20:05:31,combo,sshd(pam_unix)[24137],unauthorized,211.116.254.214
2010-06-15,20:05:31,combo,sshd(pam_unix)[24141],unauthorized,211.116.254.214
2010-06-15,20:05:31,combo,sshd(pam_unix)[24140],unauthorized,211.116.254.214
2010-06-15,20:05:31,combo,sshd(pam_unix)[24139],unauthorized,211.116.254.214
2010-06-17,07:07:00,combo,ftpd[29504],authorized,24.54.76.216
2010-06-17,07:07:00,combo,ftpd[29508],authorized,24.54.76.216
2010-06-17,07:07:00,combo,ftpd[29507],authorized,24.54.76.216
2010-06-17,07:07:00,combo,ftpd[29505],authorized,24.54.76.216
2010-06-17,07:07:00,combo,ftpd[29506],authorized,24.54.76.216
2010-06-17,07:07:00,combo,ftpd[29509],authorized,24.54.76.216
2010-06-17,07:07:02,combo,ftpd[29510],authorized,24.54.76.216
2010-06-17,07:07:04,combo,ftpd[29511],authorized,24.54.76.216
2010-06-17,19:43:13,combo,sshd(pam_unix)[30565],unauthorized,211.46.224.253
2010-06-17,20:55:06,combo,ftpd[30755],authorized,82.252.162.81
2010-06-17,20:55:06,combo,ftpd[30754],authorized,82.252.162.81
2010-06-17,20:55:06,combo,ftpd[30753],authorized,82.252.162.81
2010-06-17,20:55:06,combo,ftpd[30756],authorized,82.252.162.81
2010-06-17,20:55:06,combo,ftpd[30757],authorized,82.252.162.81
2010-06-17,20:55:07,combo,ftpd[30758],authorized,82.252.162.81
2010-06-17,20:55:07,combo,ftpd[30759],authorized,82.252.162.81
2010-06-18,01:30:59,combo,sshd(pam_unix)[31201],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31199],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31198],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31202],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31205],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31200],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31206],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31204],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31203],unauthorized,70.242.75.179
2010-06-18,01:30:59,combo,sshd(pam_unix)[31207],unauthorized,70.242.75.179
2010-06-18,02:08:10,combo,ftpd[31272],authorized,82.252.162.81
2010-06-18,02:08:10,combo,ftpd[31273],authorized,82.252.162.81
2010-06-18,02:08:10,combo,ftpd[31274],authorized,82.252.162.81
2010-06-18,02:08:10,combo,ftpd[31275],authorized,82.252.162.81
2010-06-18,02:08:10,combo,ftpd[31276],authorized,82.252.162.81
2010-06-18,02:08:10,combo,ftpd[31277],authorized,82.252.162.81
2010-06-18,02:08:10,combo,ftpd[31278],authorized,82.252.162.81
2010-06-18,02:08:11,combo,ftpd[31279],authorized,82.252.162.81
2010-06-18,02:08:11,combo,ftpd[31280],authorized,82.252.162.81
2010-06-18,02:08:11,combo,ftpd[31281],authorized,82.252.162.81
2010-06-18,02:08:11,combo,ftpd[31282],authorized,82.252.162.81
2010-06-18,02:08:11,combo,ftpd[31283],authorized,82.252.162.81
2010-06-18,02:08:12,combo,ftpd[31284],authorized,82.252.162.81
2010-06-18,02:08:12,combo,ftpd[31285],authorized,82.252.162.81
2010-06-18,02:08:12,combo,ftpd[31286],authorized,82.252.162.81
2010-06-20,03:40:59,combo,ftpd[8829],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8824],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8828],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8822],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8833],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8827],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8823],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8825],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8826],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8832],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8830],authorized,222.33.90.199
2010-06-20,03:40:59,combo,ftpd[8831],authorized,222.33.90.199
2010-06-20,09:20:05,combo,sshd(pam_unix)[10035],unauthorized,65.166.159.14
2010-06-20,09:20:05,combo,sshd(pam_unix)[10037],unauthorized,65.166.159.14
2010-06-20,09:20:05,combo,sshd(pam_unix)[10039],unauthorized,65.166.159.14
2010-06-20,09:20:06,combo,sshd(pam_unix)[10041],unauthorized,65.166.159.14
2010-06-20,09:20:07,combo,sshd(pam_unix)[10043],unauthorized,65.166.159.14
2010-06-20,09:20:07,combo,sshd(pam_unix)[10045],unauthorized,65.166.159.14
2010-06-20,09:20:07,combo,sshd(pam_unix)[10047],unauthorized,65.166.159.14
2010-06-20,09:20:07,combo,sshd(pam_unix)[10049],unauthorized,65.166.159.14
2010-06-20,09:20:08,combo,sshd(pam_unix)[10051],unauthorized,65.166.159.14
2010-06-20,09:20:08,combo,sshd(pam_unix)[10053],unauthorized,65.166.159.14
2010-06-21,08:56:36,combo,sshd(pam_unix)[14281],unauthorized,217.60.212.66
2010-06-21,08:56:36,combo,sshd(pam_unix)[14279],unauthorized,217.60.212.66
2010-06-21,08:56:36,combo,sshd(pam_unix)[14282],unauthorized,217.60.212.66
2010-06-21,08:56:36,combo,sshd(pam_unix)[14277],unauthorized,217.60.212.66
2010-06-21,08:56:36,combo,sshd(pam_unix)[14278],unauthorized,217.60.212.66
2010-06-21,08:56:36,combo,sshd(pam_unix)[14280],unauthorized,217.60.212.66
2010-06-22,03:17:26,combo,sshd(pam_unix)[16207],unauthorized,219.076.184.117
2010-06-22,03:17:26,combo,sshd(pam_unix)[16206],unauthorized,219.076.184.117
